icao	city	country	state	name	type	longitude	latitude	elevation
00CA	Barstow	United States	California	Goldstone (GTS) Airport	small_airport	-116.8853290	35.3547400	3038
01FL	Geneva	United States	Florida	Cedar Knoll Flying Ranch Airport	small_airport	-81.1592026	28.7819004	19
04CA	Palmdale	United States	California	Gray Butte Field	small_airport	-117.6706660	34.5666310	3020
04MS	Rolling Fork	United States	Mississippi	Nick's Flying Service Inc Airport	small_airport	-90.8366830	32.9405370	100
04NV	Sandy Valley	United States	Nevada	Kingston Ranch Airport	small_airport	-115.6650009	35.7555008	2620
05CL	Pope Valley	NULL	NULL	Pope Valley Airport	small_airport	-122.3909988	38.6106987	618
06FA	Jupiter	United States	Florida	William P Gwinn Airport	small_airport	-80.3289032	26.9083996	28
06MO	Waldron	United States	Missouri	Noahs Ark Airport	small_airport	-94.8043976	39.2305984	755
07FA	Key Largo	United States	Florida	Ocean Reef Club Airport	small_airport	-80.2748032	25.3253994	8
07MT	Glasgow	United States	Montana	Glasgow Industrial Airport	small_airport	-106.5280000	48.4211010	2762
07TE	Corpus Christi	United States	Texas	Cuddihy Field	small_airport	-97.5128020	27.7211000	39
09CL	Grass Valley	United States	California	Alta Sierra Airport	small_airport	-121.0569992	39.1138000	2275
09FA	Lake Placid	United States	Florida	Placid Lakes Airport	small_airport	-81.4131012	27.2455997	130
09TS	Marathon	NULL	NULL	Pitcock Rosillos Mountain Ranch Airport	small_airport	-103.1650009	29.4824009	3100
0AZ2	Salome	United States	Arizona	Western Sky Airport	small_airport	-113.6406250	33.7781660	1930
0C2	Hinckley	United States	Illinois	Hinckley Airport	small_airport	-88.7034000	41.7709010	760
0CA9	Shandon	United States	California	Blech Ranch Airport	small_airport	-120.3380580	35.5927970	1140
0ID2	May	United States	Idaho	Flying Joseph Ranch Airport	small_airport	-113.7730026	44.4429016	5600
0TE4	Hilltop Lakes	United States	Texas	Hilltop Lakes Airport	small_airport	-96.2152023	31.0809994	501
0TE5	Laredo	United States	Texas	Santa Maria Ranch Airport	small_airport	-99.1858978	27.4337997	516
0TE7	Stonewall	NULL	NULL	LBJ Ranch Airport	small_airport	-98.6224980	30.2518010	1515
0TX1	Granbury	United States	Texas	Pecan Plantation Airport	small_airport	-97.6762250	32.3533250	710
11II	Nineveh	United States	Indiana	Himsel Army Airfield	small_airport	-86.0298300	39.3393300	708
